run,lumi,event,is_e,is_mu,is_ee,is_emu,is_mumu,n_jets,n_btags,lep1_pt,lep1_iso,lep1_pdgId,lep2_pt,lep2_iso,lep2_pdgId,jet1_pt,jet2_pt,jet1_CSVv2,jet2_CSVv2,jet1_JecSF,jet1_JecSF_up,jet1_JecSF_down,MET_pt,MET_phi,mll,ttHFCategory,PUWeight,bWeight,triggerSF,lepIDSF,lepISOSF,Q2_upup,Q2_downdown,pdf_up,pdf_down
1,9876,1968901,0,1,0,0,0,5,2,69.7988,0.0826,13,-1,-1,-1,124.2423,67.0922,0.9571,0.9980,1.1214,1.0100,0.9900,31.9691,0.7698,-1,53,-1.0000,0.6015,0.9826,0.9791,0.9982,0.7704,1.5410,1.0185,0.9813
1,9876,1968903,0,1,0,0,0,7,2,133.8379,0.0063,-13,-1,-1,-1,212.0530,138.5784,0.9954,0.3161,1.0488,1.0067,0.9933,175.6776,-1.1258,-1,53,-1.0000,0.8423,0.9923,0.9965,0.9993,0.7459,1.4330,1.0383,0.9615
1,9876,1968919,1,0,0,0,0,6,2,45.1782,0.0394,11,-1,-1,-1,298.2021,95.0247,0.1817,0.8702,1.0924,1.0077,0.9923,136.6904,-2.6585,-1,51,-1.0000,2.4465,0.9880,0.9860,0.9970,0.7484,1.6133,1.0216,0.9786
1,9876,1968922,0,0,0,1,0,3,1,59.6077,0.0087,-13,51.9273,0.0286,11,85.7431,83.2651,0.7923,0.6469,1.0956,1.0147,0.9853,123.2962,1.4065,178.2017,53,-1.0000,1.0383,0.9719,0.9584,0.9855,0.7475,1.5913,1.0340,0.9660
1,9876,1968936,1,0,0,0,0,6,3,60.1415,0.0000,11,-1,-1,-1,231.4340,179.6213,0.9577,0.9504,1.0514,1.0067,0.9933,46.7118,2.3205,-1,53,-1.0000,0.3655,0.9843,0.9833,0.9888,0.7711,1.4298,1.0247,0.9753
1,9876,1968954,1,0,0,0,0,4,3,33.6958,0.0081,11,-1,-1,-1,329.7259,86.9766,0.9276,0.9610,1.1216,1.0078,0.9922,342.8042,1.3897,-1,51,-1.0000,1.2018,0.9474,0.9828,0.9939,0.7966,1.3531,1.0494,0.9509
1,9876,1968959,0,1,0,0,0,6,2,59.6933,0.0296,13,-1,-1,-1,176.2384,109.6249,0.9687,0.5723,1.1272,1.0075,0.9925,53.5482,-0.0273,-1,51,-1.0000,0.8263,0.9760,0.9720,0.9987,0.7293,1.6772,1.0418,0.9579
1,9901,1973780,1,0,0,0,0,5,2,106.0990,0.0000,-11,-1,-1,-1,180.7471,107.8184,0.7846,0.9399,1.0491,1.0072,0.9928,23.6277,-1.4165,-1,53,-1.0000,0.8526,1.0014,0.9918,0.9848,0.7949,1.3790,1.0315,0.9684
1,9901,1973788,1,0,0,0,0,5,3,65.9833,0.0000,-11,-1,-1,-1,179.0952,96.4673,0.4951,0.9159,1.0305,1.0073,0.9927,47.7956,2.5168,-1,53,-1.0000,0.6241,0.9854,0.9995,0.9899,0.8083,1.3927,1.0431,0.9567
1,9901,1973791,1,0,0,0,0,7,3,54.1692,0.0000,-11,-1,-1,-1,142.0168,93.1611,0.3217,0.9980,1.1375,1.0090,0.9910,91.0400,1.1837,-1,51,-1.0000,1.5284,0.9787,0.9904,0.9848,0.7702,1.6441,1.0200,0.9798
